,0
0,Virginia
1,Louisiana
2,Kentucky
3,Wyoming
4,Pennsylvania
5,South Dakota
6,West Virginia
7,Maryland
8,New Jersey
9,Minnesota
10,Hawaii
11,Alaska
12,Texas
13,Mississippi
14,Montana
15,Oregon
16,North Dakota
17,Indiana
18,Missouri
19,Kansas
20,California
21,Oklahoma
22,Arkansas
23,Rhode Island
24,Massachusetts
25,North Carolina
26,Ohio
27,Utah
28,New Hampshire
29,Nebraska
30,Nevada
31,New Mexico
32,Wisconsin
33,Michigan
34,Maine
35,Colorado
36,Iowa
37,Washington
38,Delaware
39,Georgia
40,Illinois
41,Florida
42,Vermont
43,South Carolina
44,New York
45,Tennessee
46,Connecticut
47,Idaho
